"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**";"via_09_07";8;"Val**";;;
2;"C4";"CPOL_200mils_R10mm";1;"1000uF 6.3V Low ESR";;;
3;"P2,P1";"HN1x2_Jumper";2;"HN1x2";;;
4;"D1";"LED_0603_KA";1;"LED_RED_0603";;;
5;"C3";"C_0603";1;"100nF";;;
6;"L1";"CD32";1;"4.7uH/1.5A/JCR<0.1R/CD32";;;
7;"R1";"R_0603_DWS";1;"100K 1%";;;
8;"R2";"R_0603_DWS";1;"22.1K 1%";;;
9;"R3";"R_0603_DWS";1;"2.2K";;;
10;"";"LOGO_OLIMEX_80";1;"";;;
11;"";"LOGO_PBFREE";1;"";;;
12;"U1";"SOT23-6";1;"SY8120B1";;;
13;"C2";"R_0805";1;"22uF/6.3V";;;
14;"FB1";"L0805_5MIL_DWS";1;"FB0805-2A";;;
15;"C5";"C_0603_DWS";1;"100nF";;;
16;"C1,C6";"R_0805";2;"2.2uF/50V";;;
17;",";"Fiducial1x3_transp";2;"";;;
18;"";"LOGO_RECYCLEBIN_1";1;"";;;
